VLAN,IP地址,MAC地址,设备类型,设备名称,物理部署位置,所属部门,使用人,备注,使用状态,登记日期,上层交换机,交换机端口,向日葵远程ID,网关
10,10.10.10.12,21:6C:A1:6C:FF:CA,核心IT与网络基础设备,灵兽圈禁制交换机,御兽园,清云宗,驯兽师,清云宗资产，富裕奢华,已使用,2026/3/21,SW-Qingyun-Beast-01,Gig1/0/12,592688426,10.10.10.1
10,10.10.10.13,87:47:7E:86:DB:CC,办公与会议终端外设,违规弟子处罚登记电脑,执法堂,清云宗,执法长老,清云宗资产，富裕奢华,已使用,2026/3/12,SW-Qingyun-Law-01,Gig1/0/2,335493870,10.10.10.1
10,10.10.10.14,FC:2E:18:38:4E:51,安防监控与通道管理,审讯室高清晰度监控,执法堂,清云宗,执法弟子,清云宗资产，富裕奢华,已使用,2026/3/26,SW-Qingyun-Law-01,Gig1/0/10,830661141,10.10.10.1
10,10.10.10.15,20:C5:C3:EF:80:05,办公与会议终端外设,道法讲座会议视频终端,传功大殿,清云宗,传功长老,清云宗资产，富裕奢华,已使用,2026/3/22,SW-Qingyun-Main-01,Gig1/0/4,873869166,10.10.10.1
10,10.10.10.16,88:AE:39:96:DE:50,办公与会议终端外设,功法秘籍检索一体机,传功大殿,清云宗,传功弟子,清云宗资产，富裕奢华,已使用,2026/3/15,SW-Qingyun-Main-01,Gig1/0/8,103484630,10.10.10.1
10,10.10.10.17,86:5B:36:98:65:4E,办公与会议终端外设,智能盘点车控制器,灵药仓库,清云宗,库房执事,旧款退役设备,已废弃,2026/3/12,SW-Qingyun-Store-01,Gig1/0/1,,10.10.10.1
10,10.10.10.18,00:A5:FA:09:39:B9,安防监控与通道管理,库房门禁脸部识别闸机,灵药仓库,清云宗,库房执事,清云宗资产，富裕奢华,已使用,2026/3/27,SW-Qingyun-Store-01,Gig1/0/2,966267851,10.10.10.1
10,10.10.10.19,7A:1D:7B:28:2B:F8,办公与会议终端外设,宗门高层会议投影终端,议事大殿,清云宗,卿梦,清云宗资产，富裕奢华,已使用,2026/3/27,SW-Qingyun-Main-01,Gig1/0/1,174316370,10.10.10.1
10,10.10.10.20,40:41:F3:54:87:D8,核心IT与网络基础设备,大殿核心防火墙网关,议事大殿,清云宗,宗门大长老,富余备用设备,预留/备用,2026/3/7,SW-Qingyun-Core-01,Gig1/0/24,,10.10.10.1
10,10.10.10.21,66:9F:CC:BF:E0:E7,核心IT与网络基础设备,大宗护山阵法控制服务器,阵法阁,清云宗,阵法大师,富余备用设备,预留/备用,2026/3/4,SW-Qingyun-Core-01,Gig1/0/10,,10.10.10.1
10,10.10.10.22,7E:73:20:AD:0A:75,核心IT与网络基础设备,灵脉浓度监测仪,禁地灵脉,清云宗,守护长老,富余备用设备,预留/备用,2026/3/19,SW-Qingyun-Core-01,Gig1/0/11,,10.10.10.1
10,10.10.10.23,70:03:24:1E:75:22,办公与会议终端外设,图书借阅自助机-01,藏书阁,清云宗,看书长老,旧款退役设备,已废弃,2026/3/2,SW-Qingyun-Lib-01,Gig1/0/1,,10.10.10.1
10,10.10.10.24,A9:24:79:8E:F8:6D,办公与会议终端外设,图书借阅自助机-02,藏书阁,清云宗,看书长老,富余备用设备,预留/备用,2026/3/18,SW-Qingyun-Lib-01,Gig1/0/2,,10.10.10.1
10,10.10.10.25,43:F2:7C:F2:D0:61,安防监控与通道管理,防爆炼丹炉监控终端,综合炼丹堂,清云宗,高阶炼丹师,旧款退役设备,已废弃,2026/3/4,SW-Qingyun-Dan-01,Gig1/0/15,,10.10.10.1
10,10.10.10.26,31:DC:B5:D8:D2:EF,办公与会议终端外设,备用测灵仪连接电脑,山门招新办,清云宗,小艾,富余备用设备,预留/备用,2026/3/28,SW-Qingyun-Gate-01,Gig1/0/20,,10.10.10.1
20,172.20.20.2,1B:32:1F:CE:AD:37,办公与会议终端外设,扶颦小师妹专属打卡机,露天食堂,天剑宗,扶颦,彻底报废破烂,已废弃,2026/3/8,SW-Tianjian-Poor-01,Fast0/1,,172.20.20.1
20,172.20.20.3,61:E5:47:D8:5D:8E,办公与会议终端外设,红烧肉领取登记破电脑,露天食堂,天剑宗,四师兄,剑宗穷苦资产，二手淘来,已使用,2026/3/15,SW-Tianjian-Poor-01,Fast0/2,368227631,172.20.20.1
20,172.20.20.4,E2:32:19:07:2F:79,核心IT与网络基础设备,大师兄剑气检测二手服务器,练剑坪,天剑宗,沈清尘,剑宗穷苦资产，二手淘来,已使用,2026/3/6,SW-Tianjian-Poor-01,Fast0/3,536383774,172.20.20.1
20,172.20.20.5,F6:6D:CD:1E:54:C2,办公与会议终端外设,二师兄练剑打卡计时器,练剑坪,天剑宗,天剑宗二师兄,剑宗穷苦资产，二手淘来,已使用,2026/3/1,SW-Tianjian-Poor-01,Fast0/4,519212169,172.20.20.1
20,172.20.20.6,E8:92:D8:F9:4F:61,办公与会议终端外设,剑道挥砍计数器,练剑坪,天剑宗,天剑宗三师兄,剑宗穷苦资产，二手淘来,已使用,2026/3/10,SW-Tianjian-Poor-01,Fast0/5,333754555,172.20.20.1
20,172.20.20.7,1F:A0:1D:19:F4:50,办公与会议终端外设,小师妹山洞除湿控制机,自建洞府区,天剑宗,扶颦,剑宗穷苦资产，二手淘来,已使用,2026/3/2,SW-Tianjian-Poor-02,Fast0/1,645276696,172.20.20.1
20,172.20.20.8,5F:23:22:78:CE:3D,安防监控与通道管理,洞府区简易防盗警报器,自建洞府区,天剑宗,沈清尘,剑宗穷苦资产，二手淘来,已使用,2026/3/19,SW-Tianjian-Poor-02,Fast0/2,364371717,172.20.20.1
20,172.20.20.9,14:29:D6:A1:85:68,办公与会议终端外设,四师兄菜园自动浇水机,自建洞府区,天剑宗,四师兄,捡来的备用机,预留/备用,2026/3/22,SW-Tianjian-Poor-02,Fast0/3,,172.20.20.1
20,172.20.20.10,A0:7A:87:CA:43:99,核心IT与网络基础设备,化神长老闭关温控主机,极寒冰窟,天剑宗,化神长老,彻底报废破烂,已废弃,2026/3/15,SW-Tianjian-Poor-03,Fast0/1,,172.20.20.1
20,172.20.20.11,25:04:EA:33:25:6D,安防监控与通道管理,冰窟安防监控（淘来的）,极寒冰窟,天剑宗,化神长老,剑宗穷苦资产，二手淘来,已使用,2026/3/17,SW-Tianjian-Poor-03,Fast0/2,384756779,172.20.20.1
20,172.20.20.12,B2:23:7D:BD:91:50,办公与会议终端外设,招新简易大喇叭控制器,招新小台,天剑宗,扫地师兄,剑宗穷苦资产，二手淘来,已使用,2026/3/15,SW-Tianjian-Poor-01,Fast0/10,995226828,172.20.20.1
20,172.20.20.13,9A:04:99:35:44:87,安防监控与通道管理,山门简易木门电子锁,破烂山门,天剑宗,洗碗弟子,捡来的备用机,预留/备用,2026/3/4,SW-Tianjian-Poor-01,Fast0/11,,172.20.20.1
20,172.20.20.14,4F:8B:90:6B:AF:68,办公与会议终端外设,小师妹混沌灵根查阅终端,藏书阁,天剑宗,扶颦,剑宗穷苦资产，二手淘来,已使用,2026/3/22,SW-Tianjian-Poor-02,Fast0/10,781007818,172.20.20.1
20,172.20.20.15,FA:80:1A:2F:D8:8D,办公与会议终端外设,古旧功法扫描打印机,藏书阁,天剑宗,沈清尘,剑宗穷苦资产，二手淘来,已使用,2026/3/2,SW-Tianjian-Poor-02,Fast0/11,103807155,172.20.20.1
20,172.20.20.16,42:86:52:E2:DA:04,核心IT与网络基础设备,老祖打铁铸剑炉控温仪,铸剑台,天剑宗,剑宗老祖,剑宗穷苦资产，二手淘来,已使用,2026/3/4,SW-Tianjian-Poor-03,Fast0/5,180792472,172.20.20.1
20,172.20.20.17,4C:12:BD:4B:DC:41,办公与会议终端外设,废旧铁屑回收计数电脑,铸剑台,天剑宗,天剑宗二师兄,彻底报废破烂,已废弃,2026/3/2,SW-Tianjian-Poor-03,Fast0/6,,172.20.20.1
20,172.20.20.18,BA:14:B7:6B:7F:34,办公与会议终端外设,宗门抠门粮食盘点车,打谷场,天剑宗,四师兄,剑宗穷苦资产，二手淘来,已使用,2026/3/12,SW-Tianjian-Poor-01,Fast0/15,937643439,172.20.20.1
20,172.20.20.19,D0:4F:79:53:5A:D3,办公与会议终端外设,长老外出打工打卡机,化神长老洞府,天剑宗,化神长老,捡来的备用机,预留/备用,2026/3/1,SW-Tianjian-Poor-03,Fast0/8,,172.20.20.1
20,172.20.20.20,AA:D2:7F:88:51:37,核心IT与网络基础设备,接单赚灵石通信小服务器,化神长老洞府,天剑宗,化神长老,剑宗穷苦资产，二手淘来,已使用,2026/3/13,SW-Tianjian-Poor-03,Fast0/9,141580226,172.20.20.1
20,172.20.20.21,71:66:EB:B3:9C:74,办公与会议终端外设,二手洗碗机控制器,露天食堂,天剑宗,洗碗弟子,剑宗穷苦资产，二手淘来,已使用,2026/3/8,SW-Tianjian-Poor-01,Fast0/6,125409494,172.20.20.1
20,172.20.20.22,62:CC:A8:8E:23:8E,安防监控与通道管理,山寨剑气录像摄像头,练剑坪,天剑宗,天剑宗三师兄,捡来的备用机,预留/备用,2026/3/12,SW-Tianjian-Poor-01,Fast0/7,,172.20.20.1
20,172.20.20.23,CC:A9:0E:3B:85:5B,安防监控与通道管理,防要债人员摄像头,破烂山门,天剑宗,扫地师兄,彻底报废破烂,已废弃,2026/3/19,SW-Tianjian-Poor-01,Fast0/12,,172.20.20.1
20,172.20.20.24,87:13:37:DE:B0:A0,核心IT与网络基础设备,洞府挖渠排水集控器,自建洞府区,天剑宗,天剑宗二师兄,捡来的备用机,预留/备用,2026/3/14,SW-Tianjian-Poor-02,Fast0/4,,172.20.20.1
20,172.20.20.25,3B:C5:61:82:16:DF,安防监控与通道管理,老祖私房钱保险柜监控,藏书阁,天剑宗,剑宗老祖,彻底报废破烂,已废弃,2026/3/1,SW-Tianjian-Poor-02,Fast0/12,,172.20.20.1
20,172.20.20.26,64:BA:DC:23:A9:A0,办公与会议终端外设,小师妹卖萌招新投影仪,招新小台,天剑宗,扶颦,捡来的备用机,预留/备用,2026/3/22,SW-Tianjian-Poor-01,Fast0/18,,172.20.20.1
30,192.168.30.2,99:9E:D1:A7:CE:97,办公与会议终端外设,魔君催租讨债专用电脑,魔宫大殿,魔界,扶枭,魔界硬核资产，苦挣灵石,已使用,2026/3/18,SW-Mojie-Core-01,Gig1/0/1,236674237,192.168.30.1
30,192.168.30.3,D7:C2:59:9A:CF:00,核心IT与网络基础设备,魔王殿破产清算服务器,魔宫大殿,魔界,扶枭,魔界硬核资产，苦挣灵石,已使用,2026/3/10,SW-Mojie-Core-01,Gig1/0/2,408071259,192.168.30.1
30,192.168.30.4,DC:A4:EE:E2:E2:6D,办公与会议终端外设,皇子魔界基建规划工作站,魔宫大殿,魔界,扶晏,魔界硬核资产，苦挣灵石,已使用,2026/3/17,SW-Mojie-Core-01,Gig1/0/3,608079792,192.168.30.1
30,192.168.30.5,56:2B:91:AB:2F:78,核心IT与网络基础设备,玄铁矿开采打卡服务器,幽冥矿场,魔界,幽冥矿长,战败损坏废弃设备,已废弃,2026/3/22,SW-Mojie-Mine-01,Gig1/0/1,,192.168.30.1
30,192.168.30.6,73:65:4B:0C:17:7D,安防监控与通道管理,矿工防偷懒红外摄像头,幽冥矿场,魔界,矿场监工,魔界硬核资产，苦挣灵石,已使用,2026/3/16,SW-Mojie-Mine-01,Gig1/0/5,756350429,192.168.30.1
30,192.168.30.7,E9:D4:63:C4:FD:CC,办公与会议终端外设,矿山装载车盘点终端,幽冥矿场,魔界,幽冥矿长,魔界硬核资产，苦挣灵石,已使用,2026/3/8,SW-Mojie-Mine-01,Gig1/0/6,258453521,192.168.30.1
30,192.168.30.8,02:36:D9:70:5A:ED,安防监控与通道管理,渡船过界刷卡闸机,忘川渡口,魔界,忘川摆渡人,战败损坏废弃设备,已废弃,2026/3/2,SW-Mojie-Ferry-01,Gig1/0/1,,192.168.30.1
30,192.168.30.9,7F:3E:E9:44:ED:A2,安防监控与通道管理,偷渡人员监控摄像头,忘川渡口,魔界,忘川摆渡人,魔界抵押备用设备,预留/备用,2026/3/25,SW-Mojie-Ferry-01,Gig1/0/2,,192.168.30.1
30,192.168.30.10,DA:E4:51:F3:E6:84,办公与会议终端外设,渡口通行票务打印机,忘川渡口,魔界,魔界左使,魔界硬核资产，苦挣灵石,已使用,2026/3/25,SW-Mojie-Ferry-01,Gig1/0/3,365471644,192.168.30.1
30,192.168.30.11,8D:F8:7A:8C:E1:27,办公与会议终端外设,刑房审讯录音录像终端,炼狱刑房,魔界,魔界右使,战败损坏废弃设备,已废弃,2026/3/23,SW-Mojie-Core-01,Gig1/0/10,,192.168.30.1
30,192.168.30.12,78:8B:AB:A3:29:46,核心IT与网络基础设备,刑具安全控制交换机,炼狱刑房,魔界,魔界右使,魔界硬核资产，苦挣灵石,已使用,2026/3/5,SW-Mojie-Core-01,Gig1/0/11,348315126,192.168.30.1
30,192.168.30.13,4E:6D:20:D4:D0:A9,办公与会议终端外设,魔界财力亏空记账电脑,库房财神殿,魔界,账房先生,魔界硬核资产，苦挣灵石,已使用,2026/3/18,SW-Mojie-Bank-01,Gig1/0/1,600282414,192.168.30.1
30,192.168.30.14,1F:69:D7:C7:0A:C2,安防监控与通道管理,空空如也的库房监控,库房财神殿,魔界,库房管家,魔界硬核资产，苦挣灵石,已使用,2026/3/16,SW-Mojie-Bank-01,Gig1/0/2,106330865,192.168.30.1
30,192.168.30.15,98:C7:D6:70:F9:70,安防监控与通道管理,财神殿门禁密码锁,库房财神殿,魔界,库房管家,魔界硬核资产，苦挣灵石,已使用,2026/3/9,SW-Mojie-Bank-01,Gig1/0/3,567975319,192.168.30.1
30,192.168.30.16,0E:C7:AC:CF:54:EF,核心IT与网络基础设备,魔君私房钱隐藏防火墙,魔皇秘境,魔界,扶枭,魔界硬核资产，苦挣灵石,已使用,2026/3/5,SW-Mojie-Core-01,Gig1/0/20,768143326,192.168.30.1
30,192.168.30.17,0D:C9:0D:2A:DB:45,核心IT与网络基础设备,边界防守雷达服务器,哨卡要塞,魔界,巡山魔将,魔界抵押备用设备,预留/备用,2026/3/28,SW-Mojie-Fort-01,Gig1/0/1,,192.168.30.1
30,192.168.30.18,5D:19:85:C2:A7:6C,安防监控与通道管理,要塞安防红外摄像头,哨卡要塞,魔界,巡山魔将,魔界硬核资产，苦挣灵石,已使用,2026/3/15,SW-Mojie-Fort-01,Gig1/0/2,450948014,192.168.30.1
30,192.168.30.19,C2:8E:D7:81:29:F0,办公与会议终端外设,魔兵装备登记台,军械所,魔界,魔界左使,魔界硬核资产，苦挣灵石,已使用,2026/3/1,SW-Mojie-Fort-01,Gig1/0/5,904258674,192.168.30.1
30,192.168.30.20,1A:B3:72:23:14:0F,核心IT与网络基础设备,魔界户籍管理主机,魔卡登记处,魔界,扶晏,魔界抵押备用设备,预留/备用,2026/3/8,SW-Mojie-Core-01,Gig1/0/15,,192.168.30.1
30,192.168.30.21,0A:4E:7A:40:F2:3A,办公与会议终端外设,魔君哭穷专用视频会议终端,魔宫大殿,魔界,扶枭,魔界硬核资产，苦挣灵石,已使用,2026/3/19,SW-Mojie-Core-01,Gig1/0/4,334037646,192.168.30.1
30,192.168.30.22,EE:83:BC:55:3A:53,核心IT与网络基础设备,矿洞坍塌预警集控器,幽冥矿场,魔界,矿场监工,魔界抵押备用设备,预留/备用,2026/3/10,SW-Mojie-Mine-01,Gig1/0/10,,192.168.30.1
30,192.168.30.23,37:0D:9F:C0:CB:65,核心IT与网络基础设备,界河水质监测仪,忘川渡口,魔界,魔界左使,战败损坏废弃设备,已废弃,2026/3/3,SW-Mojie-Ferry-01,Gig1/0/8,,192.168.30.1
30,192.168.30.24,7C:34:9A:3D:15:B1,安防监控与通道管理,哨卡抬杆闸机,哨卡要塞,魔界,巡山魔将,魔界抵押备用设备,预留/备用,2026/3/18,SW-Mojie-Fort-01,Gig1/0/8,,192.168.30.1
30,192.168.30.25,DB:BD:23:AE:06:D7,核心IT与网络基础设备,魔皇秘境禁制服务器,魔皇秘境,魔界,扶晏,战败损坏废弃设备,已废弃,2026/3/27,SW-Mojie-Core-01,Gig1/0/21,,192.168.30.1
30,192.168.30.26,FA:36:DD:B9:EB:4E,办公与会议终端外设,发工资专用打印机,库房财神殿,魔界,账房先生,魔界抵押备用设备,预留/备用,2026/3/14,SW-Mojie-Bank-01,Gig1/0/8,,192.168.30.1
99,10.99.99.10,8A:F7:EE:DF:89:A5,办公与会议终端外设,客栈包子铺结账收银机,凡人界王富贵客栈,清云宗,王富贵,公共网段设备，三宗共用,已使用,2026/3/28,SW-Public-01,Gig1/0/1,363598427,10.99.99.1
99,10.99.99.11,8E:E6:7C:ED:C2:AC,安防监控与通道管理,客栈大堂安防摄像头,凡人界王富贵客栈,清云宗,王富贵,公共网段设备，三宗共用,已使用,2026/3/1,SW-Public-01,Gig1/0/2,630757561,10.99.99.1
99,10.99.99.12,5D:F9:6C:B5:84:AE,核心IT与网络基础设备,客栈客房Wi-Fi路由AP,凡人界王富贵客栈,清云宗,凡人镇小二,公共网段设备，三宗共用,已使用,2026/3/9,SW-Public-01,Gig1/0/3,740116562,10.99.99.1
99,10.99.99.13,8D:05:61:2B:7B:D0,办公与会议终端外设,黑市灵石交易打卡机,清云镇黑市,清云宗,游方商人,公共区域损坏设备,已废弃,2026/3/16,SW-Public-01,Gig1/0/5,,10.99.99.1
99,10.99.99.14,7B:F3:FB:E5:08:2F,办公与会议终端外设,黑市情报查询一体机,清云镇黑市,清云宗,散修甲,公共可用池备用,预留/备用,2026/3/10,SW-Public-01,Gig1/0/6,,10.99.99.1
99,10.99.99.15,CF:7C:9C:BC:F2:B0,安防监控与通道管理,传送阵公共打卡闸机,跨界传送阵,天剑宗,跑腿小哥,公共网段设备，三宗共用,已使用,2026/3/14,SW-Public-02,Gig1/0/1,900942073,10.99.99.1
99,10.99.99.16,A9:B4:E8:8A:9C:80,核心IT与网络基础设备,跨界传送数据调度服务器,跨界传送阵,天剑宗,驿站站长,公共可用池备用,预留/备用,2026/3/8,SW-Public-02,Gig1/0/2,,10.99.99.1
99,10.99.99.17,62:A1:3D:5E:62:6E,安防监控与通道管理,传送门治安监控摄像头,跨界传送阵,天剑宗,三宗联合代表,公共网段设备，三宗共用,已使用,2026/3/24,SW-Public-02,Gig1/0/3,619904272,10.99.99.1
99,10.99.99.18,90:33:63:97:74:B8,办公与会议终端外设,茶馆听书视频播放终端,凡人界茶馆,清云宗,散修甲,公共网段设备，三宗共用,已使用,2026/3/6,SW-Public-01,Gig1/0/10,424557359,10.99.99.1
99,10.99.99.19,40:8C:17:1B:95:40,办公与会议终端外设,茶馆公共小票打印机,凡人界茶馆,清云宗,凡人镇小二,公共网段设备，三宗共用,已使用,2026/3/21,SW-Public-01,Gig1/0/11,908304440,10.99.99.1
99,10.99.99.20,34:06:91:F0:F5:E1,办公与会议终端外设,三宗洽谈视频会议终端,三宗联合会务处,魔界,三宗联合代表,公共网段设备，三宗共用,已使用,2026/3/11,SW-Public-02,Gig1/0/10,297958983,10.99.99.1
99,10.99.99.21,81:F4:3A:21:CD:FB,核心IT与网络基础设备,公共网段核心交换机,三宗联合会务处,魔界,三宗联合代表,公共网段设备，三宗共用,已使用,2026/3/3,SW-Public-02,Gig1/0/24,719571745,10.99.99.1
99,10.99.99.22,1B:4D:4C:9B:2B:7F,办公与会议终端外设,公平秤电子秤终端,交易集市,清云宗,游方商人,公共区域损坏设备,已废弃,2026/3/4,SW-Public-01,Gig1/0/15,,10.99.99.1
99,10.99.99.23,D5:73:C2:E6:E2:98,安防监控与通道管理,集市防偷盗巡逻摄像头,交易集市,清云宗,王富贵,公共可用池备用,预留/备用,2026/3/28,SW-Public-01,Gig1/0/16,,10.99.99.1
99,10.99.99.24,DB:9C:1E:32:6A:6C,办公与会议终端外设,灵石汇率实时显示屏,灵石兑换处,魔界,三宗联合代表,公共可用池备用,预留/备用,2026/3/9,SW-Public-02,Gig1/0/15,,10.99.99.1
99,10.99.99.25,29:50:7A:58:26:50,办公与会议终端外设,灵石验真伪检测仪器,灵石兑换处,魔界,三宗联合代表,公共区域损坏设备,已废弃,2026/3/1,SW-Public-02,Gig1/0/16,,10.99.99.1
99,10.99.99.26,E6:F0:95:10:76:93,安防监控与通道管理,快递传讯符包邮自动柜,两界驿站,天剑宗,跑腿小哥,公共网段设备，三宗共用,已使用,2026/3/23,SW-Public-02,Gig1/0/18,403566540,10.99.99.1
99,10.99.99.27,E8:24:77:87:65:D9,办公与会议终端外设,驿站包裹盘点车,两界驿站,天剑宗,驿站站长,公共区域损坏设备,已废弃,2026/3/4,SW-Public-02,Gig1/0/19,,10.99.99.1
99,10.99.99.28,73:4C:88:48:24:1E,办公与会议终端外设,爱心包子保温控制机,凡人界王富贵客栈,清云宗,王富贵,公共可用池备用,预留/备用,2026/3/6,SW-Public-01,Gig1/0/8,,10.99.99.1
99,10.99.99.29,93:E0:3F:EF:9B:CE,核心IT与网络基础设备,黑市公共防火墙,清云镇黑市,清云宗,游方商人,公共网段设备，三宗共用,已使用,2026/3/9,SW-Public-01,Gig1/0/20,637377910,10.99.99.1
99,10.99.99.30,FC:E0:29:14:DD:A5,安防监控与通道管理,传送阵紧急避险闸机,跨界传送阵,天剑宗,跑腿小哥,公共可用池备用,预留/备用,2026/3/20,SW-Public-02,Gig1/0/8,,10.99.99.1
99,10.99.99.31,0D:2E:75:0A:89:14,办公与会议终端外设,修仙界和平协议签署电脑,三宗联合会务处,魔界,三宗联合代表,公共网段设备，三宗共用,已使用,2026/3/25,SW-Public-02,Gig1/0/12,912037475,10.99.99.1
99,10.99.99.32,59:F0:E2:8E:5C:DF,办公与会议终端外设,淘宝摊位打卡终端,交易集市,清云宗,散修甲,公共可用池备用,预留/备用,2026/3/21,SW-Public-01,Gig1/0/18,,10.99.99.1
99,10.99.99.33,FB:2E:F0:B2:D1:AA,核心IT与网络基础设备,两界飞鸽传书接收集控器,两界驿站,天剑宗,跑腿小哥,公共区域损坏设备,已废弃,2026/3/11,SW-Public-02,Gig1/0/20,,10.99.99.1
99,10.99.99.34,35:52:A8:D2:FD:93,安防监控与通道管理,兑换处红外安防摄像头,灵石兑换处,魔界,三宗联合代表,公共可用池备用,预留/备用,2026/3/22,SW-Public-02,Gig1/0/22,,10.99.99.1
