VLAN,IP地址,MAC地址,设备类型,设备名称,物理部署位置,所属部门,使用人,备注,使用状态,登记日期,上层交换机,交换机端口,向日葵远程ID,网关
20,172.20.20.131,FB:E5:08:2F:96:71,办公与会议终端外设,天剑宗打印机-017,山洞洞府,天剑宗,天剑宗主,资源监控,已使用,2025/7/20,SW-TJ-5,Gig1/0/23,900942073,172.20.20.1
20,172.20.20.94,B4:E8:8A:9C:80:76,核心IT与网络基础设备,天剑宗防火墙-018,炼器小作坊,天剑宗,大师兄,挡劫相关,已使用,2026/8/31,SW-TJ-2,Gig1/0/13,,172.20.20.1
20,172.20.20.80,90:33:63:97:74:B8,核心IT与网络基础设备,天剑宗路由器-019,剑峰主殿,天剑宗,剑修弟子,团宠专用,已使用,2024/2/16,SW-TJ-1,Gig1/0/36,,172.20.20.1
20,172.20.20.173,FB:34:06:91:F0:F5,办公与会议终端外设,天剑宗会议终端-020,藏经阁,天剑宗,扶颦,挡劫相关,已使用,2026/6/1,SW-TJ-4,Gig1/0/8,530256336,172.20.20.1
20,172.20.20.28,1B:4D:4C:9B:2B:7F,核心IT与网络基础设备,天剑宗核心交换机主控,师兄居所,天剑宗,天剑宗主,穷宗刚配,已使用,2025/9/25,SW-TJ-2,Gig1/0/34,575368059,172.20.20.1
20,172.20.20.230,DB:9C:1E:32:6A:6C,办公与会议终端外设,天剑宗办公电脑-022,藏经阁,天剑宗,三师兄,测试设备,已使用,2024/3/17,SW-TJ-2,Gig1/0/1,840206617,172.20.20.1
20,172.20.20.130,95:10:76:93:90:E8,核心IT与网络基础设备,天剑宗防火墙-023,山洞洞府,天剑宗,天剑宗主,护短设备,已使用,2026/8/14,SW-TJ-2,Gig1/0/28,,172.20.20.1
20,172.20.20.175,4C:88:48:24:1E:54,办公与会议终端外设,小师妹专用终端,剑冢,天剑宗,四师兄,资源监控,已使用,2025/4/24,SW-TJ-3,Gig1/0/45,392322121,172.20.20.1
20,172.20.20.148,FC:E0:29:14:DD:A5,安防监控与通道管理,天剑宗存包柜-025,剑峰主殿,天剑宗,大师兄,备用节点,已使用,2025/11/21,SW-TJ-5,Gig1/0/38,921155204,172.20.20.1
30,192.168.30.220,89:14:59:F0:E2:8E,核心IT与网络基础设备,魔界核心交换机主控,界域关口,魔界,魔界使者,日常使用,已废弃,2025/4/26,SW-MJ-3,Gig1/0/27,819550381,192.168.30.1
30,192.168.30.229,52:A8:D2:FD:93:CD,安防监控与通道管理,魔界安防摄像头-002,魔君寝殿,魔界,扶晏,正常运行,已使用,2024/11/27,SW-MJ-1,Gig1/0/26,985758835,192.168.30.1
30,192.168.30.178,EC:D3:1B:60:B9:FF,安防监控与通道管理,魔界通道监控-003,魔君大殿,魔界,魔修甲,日常使用,已使用,2024/5/14,SW-MJ-3,Gig1/0/29,620455331,192.168.30.1
30,192.168.30.17,7A:51:9F:07:D0:2F,核心IT与网络基础设备,魔界核心交换机-004,魔君寝殿,魔界,扶晏,,已使用,2024/6/6,SW-MJ-4,Gig1/0/46,,192.168.30.1
30,192.168.30.79,D4:F7:F1:7C:E9:4A,办公与会议终端外设,魔界打印机-005,魔气汇聚处,魔界,半魔卫士,闭关专用,已使用,2024/5/19,SW-MJ-1,Gig1/0/18,545541033,192.168.30.1
30,192.168.30.249,88:01:90:98:FA:4C,办公与会议终端外设,魔界终端-006,魔君寝殿,魔界,库房管事,护短设备,已使用,2026/2/20,SW-MJ-5,Gig1/0/25,445505799,192.168.30.1
30,192.168.30.188,7A:C4:77:D2:16:A2,安防监控与通道管理,魔界通道监控-007,界域关口,魔界,训练教头,资源监控,已废弃,2026/3/22,SW-MJ-2,Gig1/0/32,235555899,192.168.30.1
30,192.168.30.161,A9:33:E1:33:E9:07,安防监控与通道管理,魔界门禁闸机-008,界域关口,魔界,魔族将军,备用节点,已使用,2026/3/11,SW-MJ-3,Gig1/0/22,526794469,192.168.30.1
30,192.168.30.30,A8:C2:A2:F9:12:23,核心IT与网络基础设备,魔界路由器-009,魔修修炼地,魔界,扶晏,穷宗刚配,已使用,2024/4/10,SW-MJ-1,Gig1/0/29,,192.168.30.1
30,192.168.30.241,0E:17:A6:1C:96:B7,办公与会议终端外设,魔界检索终端-010,训练场,魔界,魔修甲,测试设备,已使用,2025/8/2,SW-MJ-2,Gig1/0/11,,192.168.30.1
30,192.168.30.232,C3:7B:FE:49:76:EC,安防监控与通道管理,魔界存包柜-011,魔君寝殿,魔界,魔修乙,日常使用,已使用,2026/7/9,SW-MJ-4,Gig1/0/19,269625036,192.168.30.1
30,192.168.30.123,B0:99:D9:80:E9:9A,核心IT与网络基础设备,魔界服务器-012,魔君寝殿,魔界,扶晏,,已使用,2025/8/8,SW-MJ-3,Gig1/0/37,,192.168.30.1
30,192.168.30.85,0B:CA:8C:04:19:FE,办公与会议终端外设,魔界打印机-013,魔气汇聚处,魔界,库房管事,备用节点,已使用,2024/7/13,SW-MJ-5,Gig1/0/17,874090950,192.168.30.1
30,192.168.30.184,46:31:14:9E:E1:11,安防监控与通道管理,魔界存包柜-014,训练场,魔界,扶晏,资源监控,预留/备用,2024/11/30,SW-MJ-4,Gig1/0/12,,192.168.30.1
30,192.168.30.234,BB:8B:54:83:F6:97,安防监控与通道管理,魔界存包柜-015,物资库房,魔界,魔界使者,资源监控,已废弃,2024/5/24,SW-MJ-2,Gig1/0/44,526717340,192.168.30.1
30,192.168.30.103,2E:CA:07:87:3F:E8,办公与会议终端外设,魔界会议终端-016,魔气汇聚处,魔界,训练教头,正常运行,预留/备用,2026/8/20,SW-MJ-3,Gig1/0/7,606244434,192.168.30.1
30,192.168.30.168,A7:71:20:ED:9A:D1,核心IT与网络基础设备,魔界防火墙-017,魔君大殿,魔界,魔君扶枭,资源监控,已使用,2025/5/19,SW-MJ-1,Gig1/0/7,,192.168.30.1
30,192.168.30.44,C6:E8:BD:D6:4F:D4,安防监控与通道管理,魔界安防摄像头-018,魔君寝殿,魔界,魔君亲卫,挡劫相关,已使用,2026/9/1,SW-MJ-3,Gig1/0/3,333291547,192.168.30.1
30,192.168.30.70,B9:32:BC:B7:1F:CB,办公与会议终端外设,魔界打印机-019,物资库房,魔界,魔界使者,闭关专用,已使用,2024/8/5,SW-MJ-5,Gig1/0/2,,192.168.30.1
30,192.168.30.72,40:69:23:6A:6E:77,办公与会议终端外设,魔界打印机-020,魔气汇聚处,魔界,魔君扶枭,团宠专用,已使用,2024/5/28,SW-MJ-2,Gig1/0/35,,192.168.30.1
30,192.168.30.38,0D:43:07:B7:79:A5,核心IT与网络基础设备,魔界防火墙-021,幽冥蜜饯作坊,魔界,魔君扶枭,挡劫相关,已使用,2025/3/7,SW-MJ-5,Gig1/0/8,611365210,192.168.30.1
30,192.168.30.209,B9:37:E7:71:16:9A,办公与会议终端外设,魔界办公电脑-022,魔君大殿,魔界,魔界使者,日常使用,预留/备用,2025/3/12,SW-MJ-1,Gig1/0/32,576271425,192.168.30.1
30,192.168.30.240,29:A4:4B:21:40:8C,安防监控与通道管理,魔界存包柜-023,界域关口,魔界,魔君亲卫,,已使用,2025/4/9,SW-MJ-5,Gig1/0/39,951580447,192.168.30.1
30,192.168.30.39,6E:DC:E7:74:D3:AD,办公与会议终端外设,魔界检索终端-024,界域关口,魔界,扶晏,挡劫相关,已使用,2024/11/16,SW-MJ-3,Gig1/0/24,837468465,192.168.30.1
30,192.168.30.27,2E:2B:2F:DD:31:BE,核心IT与网络基础设备,魔界核心交换机主控,魔君大殿,魔界,魔君亲卫,闭关专用,已废弃,2025/7/29,SW-MJ-3,Gig1/0/43,,192.168.30.1
99,10.99.99.233,D8:1A:93:9F:B4:35,安防监控与通道管理,公共门禁闸机-001,跨界传送阵,,安防监控员,穷宗刚配,已使用,2024/4/20,SW-GG-3,Gig1/0/36,918841563,10.99.99.1
99,10.99.99.156,73:DB:0D:88:0E:5C,办公与会议终端外设,公共会议终端-002,公共藏经分阁,,公共教习,团宠专用,已使用,2026/6/9,SW-GG-2,Gig1/0/37,174716780,10.99.99.1
99,10.99.99.199,0F:2E:6E:C0:D6:E8,办公与会议终端外设,公共打印机-003,公共藏经分阁,,物资主管,正常运行,已使用,2026/3/6,SW-GG-5,Gig1/0/39,,10.99.99.1
99,10.99.99.49,50:19:29:8B:E2:D9,办公与会议终端外设,公共终端-004,公共食堂,,客栈掌柜,穷宗刚配,已使用,2026/2/12,SW-GG-5,Gig1/0/8,219066986,10.99.99.1
99,10.99.99.183,F9:9D:17:70:CA:1C,核心IT与网络基础设备,公共防火墙-005,物资交换所,,公共安防队长,挡劫相关,预留/备用,2026/2/21,SW-GG-3,Gig1/0/19,108299923,10.99.99.1
99,10.99.99.201,DC:59:42:C2:75:B5,核心IT与网络基础设备,公共服务器-006,三宗公共议事厅,,客栈掌柜,秘境对接,已使用,2026/8/1,SW-GG-1,Gig1/0/21,715683222,10.99.99.1
99,10.99.99.191,D5:94:3A:CF:0A:A6,核心IT与网络基础设备,公共核心交换机主控,公共食堂,,公共教习,资源监控,已使用,2026/5/14,SW-GG-1,Gig1/0/16,529979713,10.99.99.1
99,10.99.99.30,CA:9E:AD:71:AA:56,核心IT与网络基础设备,公共核心交换机主控,公共演武场,,公共长老,备用节点,已使用,2026/7/16,SW-GG-3,Gig1/0/23,979339361,10.99.99.1
99,10.99.99.218,4B:78:34:4A:83:65,核心IT与网络基础设备,公共核心交换机主控,跨界传送阵,,跨宗使者,测试设备,已使用,2026/3/2,SW-GG-4,Gig1/0/30,915911873,10.99.99.1
99,10.99.99.124,A5:A1:4D:E1:22:F0,办公与会议终端外设,公共会议终端-010,物资交换所,,三宗协调员,正常运行,已使用,2025/6/3,SW-GG-1,Gig1/0/20,140380477,10.99.99.1
99,10.99.99.104,92:27:2E:C4:EC:15,办公与会议终端外设,公共终端-011,公共客栈,,公共教习,闭关专用,已使用,2025/5/28,SW-GG-2,Gig1/0/4,970768982,10.99.99.1
99,10.99.99.192,2B:58:14:7E:E0:E0,安防监控与通道管理,公共门禁闸机-012,公共藏经分阁,,公共教习,备用节点,预留/备用,2025/1/31,SW-GG-4,Gig1/0/22,156227043,10.99.99.1
99,10.99.99.175,AB:21:A8:30:C5:91,办公与会议终端外设,公共终端-013,跨界传送阵,,公共教习,,已使用,2025/11/10,SW-GG-2,Gig1/0/23,804433388,10.99.99.1
99,10.99.99.179,C8:42:2B:9E:C0:A8,核心IT与网络基础设备,公共核心交换机主控,公共演武场,,客栈掌柜,护短设备,已使用,2024/1/19,SW-GG-3,Gig1/0/20,,10.99.99.1
99,10.99.99.97,F8:62:73:46:4F:27,办公与会议终端外设,公共办公电脑-015,界域关卡,,公共长老,测试设备,预留/备用,2026/6/23,SW-GG-5,Gig1/0/3,922816526,10.99.99.1
99,10.99.99.43,C0:4E:53:5C:54:E0,核心IT与网络基础设备,公共服务器-016,公共藏经分阁,,公共安防队长,资源监控,已废弃,2025/9/17,SW-GG-3,Gig1/0/48,351258749,10.99.99.1
99,10.99.99.71,9E:F0:63:BC:E1:EC,办公与会议终端外设,公共检索终端-017,界域关卡,,公共长老,穷宗刚配,已使用,2024/6/14,SW-GG-2,Gig1/0/39,,10.99.99.1
99,10.99.99.23,F6:BE:34:3F:91:2A,核心IT与网络基础设备,公共路由器-018,公共食堂,,公共长老,正常运行,已使用,2025/3/23,SW-GG-1,Gig1/0/15,475364113,10.99.99.1
99,10.99.99.116,1B:CA:BF:78:C5:29,办公与会议终端外设,公共打印机-019,三宗公共议事厅,,公共教习,穷宗刚配,预留/备用,2026/5/9,SW-GG-3,Gig1/0/10,,10.99.99.1
99,10.99.99.244,F1:47:F0:E5:02:28,核心IT与网络基础设备,公共路由器-020,公共客栈,,传送阵执事,穷宗刚配,已使用,2026/1/14,SW-GG-5,Gig1/0/34,933409017,10.99.99.1
